c0-0 172.21.21.50
c0-1 172.21.21.51
c1-0 172.21.21.52
c1-1 172.21.21.53
c2-0 172.21.21.54
c2-1 172.21.21.55
c2-2 172.21.21.56
c2-3 172.21.21.57
c2-4 172.21.21.58
c2-5 172.21.21.59
c2-6 172.21.21.60
c2-7 172.21.21.61
c2-8 172.21.21.62
c2-9 172.21.21.63
c2-10 172.21.21.64
c2-11 172.21.21.65
c2-12 172.21.21.66
c2-13 172.21.21.67
c2-14 172.21.21.68
c2-15 172.21.21.69
c2-16 172.21.21.70
c2-17 172.21.21.71
c2-18 172.21.21.72
c2-19 172.21.21.73
c2-20 172.21.21.74
c2-21 172.21.21.75
c2-22 172.21.21.76
c2-23 172.21.21.77
c2-24 172.21.21.78
c2-25 172.21.21.79
c2-26 172.21.21.80
c2-27 172.21.21.81
c2-28 172.21.21.82
c2-29 172.21.21.83
c2-30 172.21.21.84
c2-31 172.21.21.85
c2-32 172.21.21.86
c2-33 172.21.21.87
c2-34 172.21.21.88
c2-35 172.21.21.89
c2-36 172.21.21.90
c2-37 172.21.21.91
c2-38 172.21.21.92
c2-39 172.21.21.93
c2-40 172.21.21.94
c2-41 172.21.21.95
c2-42 172.21.21.96
c2-43 172.21.21.97
c2-44 172.21.21.98
c2-45 172.21.21.99
c2-46 172.21.21.100
c2-47 172.21.21.101
c2-48 172.21.21.102
c2-49 172.21.21.103
c2-50 172.21.21.104
c2-51 172.21.21.105
c2-52 172.21.21.106
c2-53 172.21.21.107
c3-0 172.21.21.108
c3-1 172.21.21.109
c3-2 172.21.21.110
c3-3 172.21.21.111
c3-4 172.21.21.112
c3-5 172.21.21.113
c3-6 172.21.21.114
c3-7 172.21.21.115
c3-8 172.21.21.116
c3-9 172.21.21.117
c3-10 172.21.21.118
c3-11 172.21.21.119
c3-12 172.21.21.120
c3-13 172.21.21.121
c3-14 172.21.21.122
c3-15 172.21.21.123
c3-16 172.21.21.124
c3-17 172.21.21.125
c3-18 172.21.21.126
c3-19 172.21.21.127
c3-20 172.21.21.128
c3-21 172.21.21.129
c3-22 172.21.21.130
c3-23 172.21.21.131
c3-24 172.21.21.132
c3-25 172.21.21.133
c3-26 172.21.21.134
c3-27 172.21.21.135
c3-28 172.21.21.136
c3-29 172.21.21.137
c3-30 172.21.21.138
c3-31 172.21.21.139
c3-32 172.21.21.140
c3-33 172.21.21.141
c3-34 172.21.21.142
c3-35 172.21.21.143
c3-36 172.21.21.144
c3-37 172.21.21.145
c3-38 172.21.21.146
c3-39 172.21.21.147
c3-40 172.21.21.148
c3-41 172.21.21.149
c3-42 172.21.21.150
c3-43 172.21.21.151
c3-44 172.21.21.152
c3-45 172.21.21.153
c3-46 172.21.21.154
c3-47 172.21.21.155
c4-0 172.21.21.156
c4-1 172.21.21.157
c4-2 172.21.21.158
c4-3 172.21.21.159
c4-4 172.21.21.160
c5-0 172.21.21.161
c5-1 172.21.21.162
c5-2 172.21.21.163
c5-3 172.21.21.164
c5-4 172.21.21.165
c5-5 172.21.21.166
c5-6 172.21.21.167
c5-7 172.21.21.168
c5-8 172.21.21.169
c5-9 172.21.21.170
c6-0 172.21.21.171
c6-1 172.21.21.172
c6-2 172.21.21.173
c7-0 172.21.21.174
c7-1 172.21.21.175
c7-2 172.21.21.176
c7-4 172.21.21.177
c7-5 172.21.21.178
c7-6 172.21.21.179
c7-7 172.21.21.180
c7-8 172.21.21.181
c7-9 172.21.21.182
c7-10 172.21.21.183
c7-11 172.21.21.184
c7-12 172.21.21.185
c7-13 172.21.21.186
c7-14 172.21.21.187
c7-15 172.21.21.188
c7-16 172.21.21.189
c7-17 172.21.21.190
c7-18 172.21.21.191
c7-19 172.21.21.192
c7-20 172.21.21.193
c7-21 172.21.21.194
c7-22 172.21.21.195
c7-23 172.21.21.196
c7-24 172.21.21.197
c7-25 172.21.21.198
c7-26 172.21.21.199
c7-27 172.21.21.200
c7-28 172.21.21.201
c7-29 172.21.21.202
c7-30 172.21.21.203
c7-31 172.21.21.204
c7-32 172.21.21.205
c6-3 172.21.21.206
